粵拼,意思及例子,粵研社（粵語協會）,侯興泉
hip1,閉（眼）：～埋眼,䁋,
hit1,薄：薄～～,怯,
ho4,呼氣：～氣,呵,
hoeng2,在：～屋企（在家裡）、～度（在這裏）,響,
hong3,烤、烘：炕麵包（烤麵包）,烘,
hong4,（刀）等架在脖子上：個賊用把刀～住我條頸,降,
jaa1,表示驚異或感嘆：哎～！打得少啊你？,吔,
jaa6,二十：今年～嵗、～一世紀,廿,
jaai2,踩：～死蟻（踩死螞蟻）、～單車（踩/騎自行車）,踹,
jaap3,打的要～吓手（打的要招手）,擪,
jaau1,利手、慣用手：左～（左撇子）、右～（右撇子）,-,-
jai5,淘氣：唔好咁～（別淘氣）,曳,
jau1,整理褲頭：～褲,休,
jau3,細：～幼，～麵，～滑,幼,
je5,東西：搵～（找東西）、乜～（什麽）,嘢,
jeon2,肝臟：鷄～（鷄肝）、豬～（豬肝）,膶,
jik1,食物（特別是油膩食物）因放置時間長而變質所產生的一種味道：呢啲臘腸好～、一陣油～味（一股變質的油味）,膉,
jim1,挑剔：～憸（尖）,奄/閹,
jim2,肋下兩側：小～；蟹腹下表性別之殼：蟹～,掩,
jin1,黏稠，纏綿：～韌（𪏴）,烟,
jin2,炫耀自我：～嘢,衒,
jin2,挺：～胸凸肚,躽,
jip3,用鹽漬製：～鹹魚，～製,醃,
jip3,～高褲腳（把褲腿卷起來）,掖,
jiu2,紙～（風箏）,鷂,
juk1,動：～手（動手）、咪～（不要動）,郁/喐,
jung4,切成小粒的薑、蒜或如豆沙般的餡：薑～，蒜～，蓮～,蓉,
jyu2,【1】丟臉，沒臉：好～呀！（好丟臉呀！）【2】凝滯：隻手～咗（手青了一塊）,瘀,
jyun1,極臭：蔫崩爛臭,冤,
kaa1,偏僻：山～旯（拉）,卡,
kak1,高低不平或結巴，犖～,𠸉,
kam1,對妻子的姊妹之夫的稱呼：老～、～兄,襟,
kam1,耐：唔～用(不耐用)，～着(耐穿)，～睇(耐看),襟,
kam2,打（耳光）：～佢一巴,扻,
kam2,覆蓋、蓋：～被（蓋被子）,冚,
kam5,舅母：～母,妗,
kang2,噎住、卡住：食慢啲，咪～親。（慢點吃，不要噎住。）、～親魚骨（卡着魚骨了）,骾,
